Originals,,,,,,,,,, ,NAME (N),,,, ,PHONE (Q),,ML (T),,,RM (W),,,BUILDING (Z),,,LOCATION (AB),,FAX (AE),,,WEBSITE (AH),,,EMAIL (AK),
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-088,Directory Services, UCIT,513-556-1917,107,440,UNIVHALL,,http://ucdirectory.uc.edu,, ,TRUE,1,Directory Services  UCIT,Directory Services  UCIT, ,513-556-1917,,107,107,,440,440,,UNIVHALL,UNIVHALL,,TRUE,,0,,,http://ucdirectory.uc.edu,http://ucdirectory.uc.edu,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-042,E-Mail (Faculty/Staff)(UCIT),513-556-4357,658,4thFl,UNIVHALL,513-556-2042,http://www.uc.edu/ucit/faculty-staff/email-faculty-staff.html,helpdesk@uc.edu,, ,,0,E-Mail (Faculty/Staff)(UCIT),, ,513-556-4357,,658,658,,4thFl,4thFl,,UNIVHALL,UNIVHALL,,TRUE,,513-556-2042,513-556-2042,,http://www.uc.edu/ucit/faculty-staff/email-faculty-staff.html,http://www.uc.edu/ucit/faculty-staff/email-faculty-staff.html,,helpdesk@uc.edu,helpdesk@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-041,E-Mail (Students)(UCIT),513-556-4357,658,4thFl,UNIVHALL,513-556-2042,http://www.uc.edu/ucit/students/email.html,helpdesk@uc.edu,, ,,0,E-Mail (Students)(UCIT),, ,513-556-4357,,658,658,,4thFl,4thFl,,UNIVHALL,UNIVHALL,,TRUE,,513-556-2042,513-556-2042,,http://www.uc.edu/ucit/students/email.html,http://www.uc.edu/ucit/students/email.html,,helpdesk@uc.edu,helpdesk@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-013,Electronic Classroom Support Services (ECSS)(UCIT),513-556-1977,129,300C,ZIMMER,513-556-0907,http://www.uc.edu/ucit/faculty-staff/electronic-classrooms.html,examgrad@uc.edu,, ,,0,Electronic Classroom Support Services (ECSS)(UCIT),, ,513-556-1977,,129,129,,300C,300C,,ZIMMER,ZIMMER,,TRUE,,513-556-0907,513-556-0907,,http://www.uc.edu/ucit/faculty-staff/electronic-classrooms.html,http://www.uc.edu/ucit/faculty-staff/electronic-classrooms.html,,examgrad@uc.edu,examgrad@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-131,Enterprise Desktop Services (UCIT),513-556-4357,658,4thFl,UNIVHALL,,helpdesk@uc.edu,,, ,,0,Enterprise Desktop Services (UCIT),, ,513-556-4357,,658,658,,4thFl,4thFl,,UNIVHALL,UNIVHALL,,TRUE,,0,,,helpdesk@uc.edu,helpdesk@uc.edu,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-127,Enterprise IT Architecture (UCIT),513-556-2293,216,,VPCLIBRY,,,,, ,,0,Enterprise IT Architecture (UCIT),, ,513-556-2293,,216,216,,0,,,VPCLIBRY,VPCLIBRY,,TRUE,,0,,,0,,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-009,Exam Grading (UCIT),513-556-1977,129,300C,ZIMMER,513-556-1341,http://www.uc.edu/ucit/faculty-staff/exam-grading.html,examgrading@uc.edu,, ,,0,Exam Grading (UCIT),, ,513-556-1977,,129,129,,300C,300C,,ZIMMER,ZIMMER,,TRUE,,513-556-1341,513-556-1341,,http://www.uc.edu/ucit/faculty-staff/exam-grading.html,http://www.uc.edu/ucit/faculty-staff/exam-grading.html,,examgrading@uc.edu,examgrading@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-118,Get Online (Faculty/Staff)(UCIT),513-556-4357,658,4thFl,UNIVHALL,,http://www.uc.edu/ucit/faculty-staff/get-online.html,helpdesk@uc.edu,, ,,0,Get Online (Faculty/Staff)(UCIT),, ,513-556-4357,,658,658,,4thFl,4thFl,,UNIVHALL,UNIVHALL,,TRUE,,0,,,http://www.uc.edu/ucit/faculty-staff/get-online.html,http://www.uc.edu/ucit/faculty-staff/get-online.html,,helpdesk@uc.edu,helpdesk@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-117,Get Online (Students)(UCIT),513-556-4357,658,4thFl,UNIVHALL,,http://www.uc.edu/ucit/students/get-online.html,helpdesk@uc.edu,, ,,0,Get Online (Students)(UCIT),, ,513-556-4357,,658,658,,4thFl,4thFl,,UNIVHALL,UNIVHALL,,TRUE,,0,,,http://www.uc.edu/ucit/students/get-online.html,http://www.uc.edu/ucit/students/get-online.html,,helpdesk@uc.edu,helpdesk@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-116,GetIT (Faculty/Staff)(UCIT On-line ordering),513-556-4357,26,1st,UNIVHALL,,http://www.uc.edu/ucit/faculty-staff/get-online.html,helpdesk@uc.edu,, ,,0,GetIT (Faculty/Staff)(UCIT On-line ordering),, ,513-556-4357,,26,26,,1st,1st,,UNIVHALL,UNIVHALL,,TRUE,,0,,,http://www.uc.edu/ucit/faculty-staff/get-online.html,http://www.uc.edu/ucit/faculty-staff/get-online.html,,helpdesk@uc.edu,helpdesk@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-018,Help Desk (UCIT) (Toll Free Number)(,866-397-3382,658,4thFl,UNIVHALL,,http://www.uc.edu/ucit/helpdesk/,,, ,,0,Help Desk (UCIT) (Toll Free Number)(,, ,866-397-3382,,658,658,,4thFl,4thFl,,UNIVHALL,UNIVHALL,,TRUE,,0,,,http://www.uc.edu/ucit/helpdesk/,http://www.uc.edu/ucit/helpdesk/,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-093,Identity Management (UCIT),513-556-4357,658,4thFl,UNIVHALL,,,,, ,,0,Identity Management (UCIT),, ,513-556-4357,,658,658,,4thFl,4thFl,,UNIVHALL,UNIVHALL,,TRUE,,0,,,0,,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-126,Infrastructure Design (UCIT),513-556-2076,190,,FISHWICK,,,,, ,,0,Infrastructure Design (UCIT),, ,513-556-2076,,190,190,,0,,,FISHWICK,FISHWICK,,TRUE,,0,,,0,,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-022,Instructional & Research Computing (IRC)(UCIT),513-556-4357,88,406,ZIMMER,,helpdesk@uc.edu,,, ,,0,Instructional & Research Computing (IRC)(UCIT),, ,513-556-4357,,88,88,,406,406,,ZIMMER,ZIMMER,,TRUE,,0,,,helpdesk@uc.edu,helpdesk@uc.edu,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-092, Instructional Design and Content - UCIT,513-558-0430,88,406,ZIMMER,513-556-1208,http://www.uc.edu/ucit/faculty-staff/idac.html,id@uc.edu,, ,,0, Instructional Design and Content - UCIT,, ,513-558-0430,,88,88,,406,406,,ZIMMER,ZIMMER,,TRUE,,513-556-1208,513-556-1208,,http://www.uc.edu/ucit/faculty-staff/idac.html,http://www.uc.edu/ucit/faculty-staff/idac.html,,id@uc.edu,id@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-128,IT Research and Development (UCIT),513-556-0874,658,4thFl,UNIVHALL,,,,, ,,0,IT Research and Development (UCIT),, ,513-556-0874,,658,658,,4thFl,4thFl,,UNIVHALL,UNIVHALL,,TRUE,,0,,,0,,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-132,IT@UC Service Management (UCIT),513-558-4987,658,4thFl,UNIVHALL,,,,, ,,0,IT@UC Service Management (UCIT),, ,513-558-4987,,658,658,,4thFl,4thFl,,UNIVHALL,UNIVHALL,,TRUE,,0,,,0,,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-106,Lynda (UCIT),513-556-4357,658,4thFl,UNIVHALL,,http://www.uc.edu/ucit/learningtechnologies/lynda.html,HelpDesk@uc.edu,, ,,0,Lynda (UCIT),, ,513-556-4357,,658,658,,4thFl,4thFl,,UNIVHALL,UNIVHALL,,TRUE,,0,,,http://www.uc.edu/ucit/learningtechnologies/lynda.html,http://www.uc.edu/ucit/learningtechnologies/lynda.html,,HelpDesk@uc.edu,HelpDesk@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-020,Network & Telecommunication Services (UCIT),513-556-4357,26,4thFl,UNIVHALL,513-556-2010,helpdesk@uc.edu,,, ,,0,Network & Telecommunication Services (UCIT),, ,513-556-4357,,26,26,,4thFl,4thFl,,UNIVHALL,UNIVHALL,,TRUE,,513-556-2010,513-556-2010,,helpdesk@uc.edu,helpdesk@uc.edu,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-007, Central Log In (Help Desk)(UCIT) - Password Self-Service,513-556-4357,658,4thFL,UNIVHALL,,https://www.uc.edu/PSS/jsps/login/Login.jsf,helpdesk@uc.edu,, ,,0, Central Log In (Help Desk)(UCIT) - Password Self-Service,, ,513-556-4357,,658,658,,4thFL,4thFL,,UNIVHALL,UNIVHALL,,TRUE,,0,,,https://www.uc.edu/PSS/jsps/login/Login.jsf,https://www.uc.edu/PSS/jsps/login/Login.jsf,,helpdesk@uc.edu,helpdesk@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-119,Project Management (UCIT),513-556-9089,658,4thFl,UNIVHALL,,http://www.uc.edu/ucit/services/project-management.html,UCIT-PMO@ucmail.uc.edu.,, ,,0,Project Management (UCIT),, ,513-556-9089,,658,658,,4thFl,4thFl,,UNIVHALL,UNIVHALL,,TRUE,,0,,,http://www.uc.edu/ucit/services/project-management.html,http://www.uc.edu/ucit/services/project-management.html,,UCIT-PMO@ucmail.uc.edu.,UCIT-PMO@ucmail.uc.edu.
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-091,ResNet (UCIT),513-556-4357,26,535,STEGER,,http://www.uc.edu/ucit/helpdesk/resnet.html,resnet@uc.edu,, ,,0,ResNet (UCIT),, ,513-556-4357,,26,26,,535,535,,STEGER,STEGER,,TRUE,,0,,,http://www.uc.edu/ucit/helpdesk/resnet.html,http://www.uc.edu/ucit/helpdesk/resnet.html,,resnet@uc.edu,resnet@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-008,Sharepoint (UCIT),513-556-4357,,400,UNIVHALL,,http://www.uc.edu/ucit/services/sharepoint.html,helpdesk@uc.edu,, ,,0,Sharepoint (UCIT),, ,513-556-4357,,0,,,400,400,,UNIVHALL,UNIVHALL,,TRUE,,0,,,http://www.uc.edu/ucit/services/sharepoint.html,http://www.uc.edu/ucit/services/sharepoint.html,,helpdesk@uc.edu,helpdesk@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-129,Software Development & Maintenance (UCIT),513-558-0223,658,4thFl,UNIVHALL,,,,, ,,0,Software Development & Maintenance (UCIT),, ,513-558-0223,,658,658,,4thFl,4thFl,,UNIVHALL,UNIVHALL,,TRUE,,0,,,0,,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-080,Software Licensing (Faculty/Staff)(UCIT),513-556-9135,149,4thFl,UNIVHALL,513-556-2199,https://www.uc.edu/ucit/faculty-staff/software.html,,, ,,0,Software Licensing (Faculty/Staff)(UCIT),, ,513-556-9135,,149,149,,4thFl,4thFl,,UNIVHALL,UNIVHALL,,TRUE,,513-556-2199,513-556-2199,,https://www.uc.edu/ucit/faculty-staff/software.html,https://www.uc.edu/ucit/faculty-staff/software.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-081,Software Licensing (Students)(UCIT),513-556-9135,149,4thFl,UNIVHALL,513-556-2199,https://www.uc.edu/ucit/students/software.html,,, ,,0,Software Licensing (Students)(UCIT),, ,513-556-9135,,149,149,,4thFl,4thFl,,UNIVHALL,UNIVHALL,,TRUE,,513-556-2199,513-556-2199,,https://www.uc.edu/ucit/students/software.html,https://www.uc.edu/ucit/students/software.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-023,GetIT - Student On-line ordering (UCIT),513-556-4670,26,535,STEGER,,http://www.uc.edu/ucit/students/student-getit.html,getit@uc.edu,, ,,0,GetIT - Student On-line ordering (UCIT),, ,513-556-4670,,26,26,,535,535,,STEGER,STEGER,,TRUE,,0,,,http://www.uc.edu/ucit/students/student-getit.html,http://www.uc.edu/ucit/students/student-getit.html,,getit@uc.edu,getit@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-124,Systems & Device Management (UCIT),513-556-9020,658,4thFl,UNIVHALL,,,,, ,,0,Systems & Device Management (UCIT),, ,513-556-9020,,658,658,,4thFl,4thFl,,UNIVHALL,UNIVHALL,,TRUE,,0,,,0,,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-037,Telephone Installation (UCIT),513-556-9378,26,1stFl,ZIMMER,,http://www.uc.edu/ucit/phone.html,,, ,,0,Telephone Installation (UCIT),, ,513-556-9378,,26,26,,1stFl,1stFl,,ZIMMER,ZIMMER,,TRUE,,0,,,http://www.uc.edu/ucit/phone.html,http://www.uc.edu/ucit/phone.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-027,Telephone Repairs (UCIT),513-556-4357,658,4thFl,UNIVHALL,,http://www.uc.edu/ucit/helpdesk.html,helpdesk@uc.edu,, ,,0,Telephone Repairs (UCIT),, ,513-556-4357,,658,658,,4thFl,4thFl,,UNIVHALL,UNIVHALL,,TRUE,,0,,,http://www.uc.edu/ucit/helpdesk.html,http://www.uc.edu/ucit/helpdesk.html,,helpdesk@uc.edu,helpdesk@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10050-006,Neuroscience Clinical Trials Study (Psychiatry)(MED),513-558-5112,559,3200,STETSON,558-2661,,,, ,,0,Neuroscience Clinical Trials Study (Psychiatry)(MED),, ,513-558-5112,,559,559,,3200,3200,,STETSON,STETSON,,TRUE,,558-2661,558-2661,,0,,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10166-004, Toll Free - Parents Association,877-827-2357,90,120,UNIVPAV,513-556-2890,http://www.uc.edu/parents/,parents.association@uc.edu,, ,,0, Toll Free - Parents Association,, ,877-827-2357,,90,90,,120,120,,UNIVPAV,UNIVPAV,,TRUE,,513-556-2890,513-556-2890,,http://www.uc.edu/parents/,http://www.uc.edu/parents/,,parents.association@uc.edu,parents.association@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10042-003,University Funding Board (SALD),513-556-1195,139,655,STEGER,513-556-4477,http://sites.ucfilespace.uc.edu/sg/ufb,,, ,,0,University Funding Board (SALD),, ,513-556-1195,,139,139,,655,655,,STEGER,STEGER,,TRUE,,513-556-4477,513-556-4477,,http://sites.ucfilespace.uc.edu/sg/ufb,http://sites.ucfilespace.uc.edu/sg/ufb,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10136-013,University Heights Community Redevelopment Corporation (UHCURC),513-556-5948,157,620,UNIVHALL,513-556-4885,http://www.uc.edu/af/commdev/UHCURC.html,cynthia.dreyer@uc.edu,, ,,0,University Heights Community Redevelopment Corporation (UHCURC),, ,513-556-5948,,157,157,,620,620,,UNIVHALL,UNIVHALL,,TRUE,,513-556-4885,513-556-4885,,http://www.uc.edu/af/commdev/UHCURC.html,http://www.uc.edu/af/commdev/UHCURC.html,,cynthia.dreyer@uc.edu,cynthia.dreyer@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10021-001,University Health Services (UHS),513-556-2564,10,335,LNDNRCTR,513-556-1337,http://www.uc.edu/uhs/,,, ,,0,University Health Services (UHS),, ,513-556-2564,,10,10,,335,335,,LNDNRCTR,LNDNRCTR,,TRUE,,513-556-1337,513-556-1337,,http://www.uc.edu/uhs/,http://www.uc.edu/uhs/,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10021-008,Allergy Injections (UHS),513-556-2564,10,3rdFl,LNDNRCTR,513-556-1337,http://www.uc.edu/uhs/clinics/services.html,,, ,,0,Allergy Injections (UHS),, ,513-556-2564,,10,10,,3rdFl,3rdFl,,LNDNRCTR,LNDNRCTR,,TRUE,,513-556-1337,513-556-1337,,http://www.uc.edu/uhs/clinics/services.html,http://www.uc.edu/uhs/clinics/services.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10021-022,Dermatology Clinic, Lindner Clinic (UHS),513-556-2564,10,3rdFl,LNDNRCTR,513-556-1337,http://www.uc.edu/uhs/clinics/services/dermatology_clinic.html,, ,TRUE,1,Dermatology Clinic  Lindner Clinic (UHS),Dermatology Clinic  Lindner Clinic (UHS), ,513-556-2564,,10,10,,3rdFl,3rdFl,,LNDNRCTR,LNDNRCTR,,TRUE,,513-556-1337,513-556-1337,,http://www.uc.edu/uhs/clinics/services/dermatology_clinic.html,http://www.uc.edu/uhs/clinics/services/dermatology_clinic.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10021-011,Employee Disability Management Services (UHS),513-584-4482,460,4thFl,UCMC-HOLMES,513-584-2222,http://www.uc.edu/uhs/employee_disabilityservices.html,,, ,,0,Employee Disability Management Services (UHS),, ,513-584-4482,,460,460,,4thFl,4thFl,,UCMC-HOLMES,UCMC-HOLMES,,TRUE,,513-584-2222,513-584-2222,,http://www.uc.edu/uhs/employee_disabilityservices.html,http://www.uc.edu/uhs/employee_disabilityservices.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10021-101,Environmental Health & Safety Operations (OSHA),513-556-4968,218,2310,EDWARDS2,513-556-4981,http://ehs.uc.edu/,,, ,,0,Environmental Health & Safety Operations (OSHA),, ,513-556-4968,,218,218,,2310,2310,,EDWARDS2,EDWARDS2,,TRUE,,513-556-4981,513-556-4981,,http://ehs.uc.edu/,http://ehs.uc.edu/,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10021-002,Lindner Health Clinic (UHS),513-556-2564,10,335,LNDNRCTR,513-556-1337,http://www.uc.edu/uhs/clinics.html,,, ,,0,Lindner Health Clinic (UHS),, ,513-556-2564,,10,10,,335,335,,LNDNRCTR,LNDNRCTR,,TRUE,,513-556-1337,513-556-1337,,http://www.uc.edu/uhs/clinics.html,http://www.uc.edu/uhs/clinics.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10021-014,Immunization (UHS) - East Campus,513-584-4457,460,4041,UCMC-HOLMES,513-584-2222,http://www.uc.edu/uhs/medical_health_professionimmunizationrequirements.html,,, ,,0,Immunization (UHS) - East Campus,, ,513-584-4457,,460,460,,4041,4041,,UCMC-HOLMES,UCMC-HOLMES,,TRUE,,513-584-2222,513-584-2222,,http://www.uc.edu/uhs/medical_health_professionimmunizationrequirements.html,http://www.uc.edu/uhs/medical_health_professionimmunizationrequirements.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10021-018,Lab (UHS),513-556-2564,10,3rdFl,LNDNRCTR,513-556-1337,http://www.uc.edu/uhs/clinics/services.html,,, ,,0,Lab (UHS),, ,513-556-2564,,10,10,,3rdFl,3rdFl,,LNDNRCTR,LNDNRCTR,,TRUE,,513-556-1337,513-556-1337,,http://www.uc.edu/uhs/clinics/services.html,http://www.uc.edu/uhs/clinics/services.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10021-004,Mental Health (UHS),513-556-2564,10,333,LNDNRCTR,513-556-1337,http://www.uc.edu/uhs/mental_health.html,,, ,,0,Mental Health (UHS),, ,513-556-2564,,10,10,,333,333,,LNDNRCTR,LNDNRCTR,,TRUE,,513-556-1337,513-556-1337,,http://www.uc.edu/uhs/mental_health.html,http://www.uc.edu/uhs/mental_health.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10021-015,New Students Health Checklist (UHS),513-556-2564,10,335,LNDNRCTR,513-556-1337,http://www.uc.edu/uhs/welcome_new_students.html,,, ,,0,New Students Health Checklist (UHS),, ,513-556-2564,,10,10,,335,335,,LNDNRCTR,LNDNRCTR,,TRUE,,513-556-1337,513-556-1337,,http://www.uc.edu/uhs/welcome_new_students.html,http://www.uc.edu/uhs/welcome_new_students.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10021-019,Optometry (UHS),513-556-2564,10,335,LNDNRCTR,513-556-1337,http://www.uc.edu/uhs/clinics/services/optometry.html,,, ,,0,Optometry (UHS),, ,513-556-2564,,10,10,,335,335,,LNDNRCTR,LNDNRCTR,,TRUE,,513-556-1337,513-556-1337,,http://www.uc.edu/uhs/clinics/services/optometry.html,http://www.uc.edu/uhs/clinics/services/optometry.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10021-006,Pharmacy (UHS),513-556-6091,10,335,LNDNRCTR,513-556-1337,http://www.uc.edu/uhs/pharmacy.html,,, ,,0,Pharmacy (UHS),, ,513-556-6091,,10,10,,335,335,,LNDNRCTR,LNDNRCTR,,TRUE,,513-556-1337,513-556-1337,,http://www.uc.edu/uhs/pharmacy.html,http://www.uc.edu/uhs/pharmacy.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10021-007,Physicals (Students)(UHS),513-556-2564,10,335,LNDNRCTR,513-556-1337,http://www.uc.edu/uhs/,,, ,,0,Physicals (Students)(UHS),, ,513-556-2564,,10,10,,335,335,,LNDNRCTR,LNDNRCTR,,TRUE,,513-556-1337,513-556-1337,,http://www.uc.edu/uhs/,http://www.uc.edu/uhs/,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10021-012,Request Medical Records, Holmes Clinic (UHS),513-584-4457,460,4041,UCMC-HOLMES,513-584-2222,http://www.uc.edu/uhs/request_medical_records.html,, ,TRUE,1,Request Medical Records  Holmes Clinic (UHS),Request Medical Records  Holmes Clinic (UHS), ,513-584-4457,,460,460,,4041,4041,,UCMC-HOLMES,UCMC-HOLMES,,TRUE,,513-584-2222,513-584-2222,,http://www.uc.edu/uhs/request_medical_records.html,http://www.uc.edu/uhs/request_medical_records.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10021-013,Request Medical Records, Lindner Clinic (UHS),513-556-2564,10,335,LNDNRCTR,513-556-1337,http://www.uc.edu/uhs/request_medical_records.html,, ,TRUE,1,Request Medical Records  Lindner Clinic (UHS),Request Medical Records  Lindner Clinic (UHS), ,513-556-2564,,10,10,,335,335,,LNDNRCTR,LNDNRCTR,,TRUE,,513-556-1337,513-556-1337,,http://www.uc.edu/uhs/request_medical_records.html,http://www.uc.edu/uhs/request_medical_records.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10021-009,Student Health Insurance (UHS),513-556-6868,10,334,LNDNRCTR,513-556-6655,http://www.uc.edu/uhs/student_health_insurance.html,,, ,,0,Student Health Insurance (UHS),, ,513-556-6868,,10,10,,334,334,,LNDNRCTR,LNDNRCTR,,TRUE,,513-556-6655,513-556-6655,,http://www.uc.edu/uhs/student_health_insurance.html,http://www.uc.edu/uhs/student_health_insurance.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10021-020,Travel Health, Holmes Clinic (UHS),513-584-4457,460,4041,UCMC-HOLMES,513-584-2222,http://www.uc.edu/uhs/clinics/services/travel.html,, ,TRUE,1,Travel Health  Holmes Clinic (UHS),Travel Health  Holmes Clinic (UHS), ,513-584-4457,,460,460,,4041,4041,,UCMC-HOLMES,UCMC-HOLMES,,TRUE,,513-584-2222,513-584-2222,,http://www.uc.edu/uhs/clinics/services/travel.html,http://www.uc.edu/uhs/clinics/services/travel.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10021-021,Travel Health, Lindner Clinic (UHS),513-556-2564,10,335,LNDNRCTR,513-556-1337,http://www.uc.edu/uhs/clinics/services/travel.html,, ,TRUE,1,Travel Health  Lindner Clinic (UHS),Travel Health  Lindner Clinic (UHS), ,513-556-2564,,10,10,,335,335,,LNDNRCTR,LNDNRCTR,,TRUE,,513-556-1337,513-556-1337,,http://www.uc.edu/uhs/clinics/services/travel.html,http://www.uc.edu/uhs/clinics/services/travel.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10116-135,Ultrasonic Imaging Laboratory (CEAS),513-556-4043,70,500,RHODES,,http://www.ase.uc.edu/USIL/,,, ,,0,Ultrasonic Imaging Laboratory (CEAS),, ,513-556-4043,,70,70,,500,500,,RHODES,RHODES,,TRUE,,0,,,http://www.ase.uc.edu/USIL/,http://www.ase.uc.edu/USIL/,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10002-006, Human Resources - Unclassified Employment,513-556-6381,39,340,UNIVHALL,513-556-9652,https://www.jobsatuc.com/,hronestop@uc.edu,, ,,0, Human Resources - Unclassified Employment,, ,513-556-6381,,39,39,,340,340,,UNIVHALL,UNIVHALL,,TRUE,,513-556-9652,513-556-9652,,https://www.jobsatuc.com/,https://www.jobsatuc.com/,,hronestop@uc.edu,hronestop@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10004-021, Center for (A&S) - Exploratory Studies,513-556-6540,95,2ndFl,FRENCH-WEST,513-556-2343,http://www.uc.edu/explore/,explore@uc.edu,, ,,0, Center for (A&S) - Exploratory Studies,, ,513-556-6540,,95,95,,2ndFl,2ndFl,,FRENCH-WEST,FRENCH-WEST,,TRUE,,513-556-2343,513-556-2343,,http://www.uc.edu/explore/,http://www.uc.edu/explore/,,explore@uc.edu,explore@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10155-028,Admissions and Student Services (CCM),513-556-5463,3,3245,EMERY,513-556-1028,http://ccm.uc.edu/admissions.html,,, ,,0,Admissions and Student Services (CCM),, ,513-556-5463,,3,3,,3245,3245,,EMERY,EMERY,,TRUE,,513-556-1028,513-556-1028,,http://ccm.uc.edu/admissions.html,http://ccm.uc.edu/admissions.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10004-014,Student Affairs (A&S),513-556-5860,37,2ndFl,FRENCH-WEST,513-556-3477,http://www.artsci.uc.edu/students/undergrad.html,,, ,,0,Student Affairs (A&S),, ,513-556-5860,,37,37,,2ndFl,2ndFl,,FRENCH-WEST,FRENCH-WEST,,TRUE,,513-556-3477,513-556-3477,,http://www.artsci.uc.edu/students/undergrad.html,http://www.artsci.uc.edu/students/undergrad.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10004-017,Undergraduate Affairs and Advising (A&S),513-556-5860,37,2ndFl,FRENCH-WEST,513-556-3477,http://www.artsci.uc.edu/students/undergrad/advising.html,artsci.advising@uc.edu,, ,,0,Undergraduate Affairs and Advising (A&S),, ,513-556-5860,,37,37,,2ndFl,2ndFl,,FRENCH-WEST,FRENCH-WEST,,TRUE,,513-556-3477,513-556-3477,,http://www.artsci.uc.edu/students/undergrad/advising.html,http://www.artsci.uc.edu/students/undergrad/advising.html,,artsci.advising@uc.edu,artsci.advising@uc.edu
